price,latitude,longitude,surface_area,num_of_room,floor,num_floors_in_building,finish_condition,form_of_property,balcony_garden_terrace,parking_space,heating
,52.172792,20.9941018,35.41,5,3,8,for finishing,full ownership,"Elevator, Terrace",garage/parking space,
970000,52.1823249,21.0258847,48.55,3,7,15,for living,full ownership,Laundry,garage/parking space,municipal
629000,52.2869133,20.9409327,36.5,1,0,10,for living,full ownership,Garage,,municipal
2480000,52.23805,21.02935,99.69,1,3,4,for living,cooperative ownership right to the premises,Garage,,municipal
560000,52.4465078,20.6925219,50.0,4,1,5,,,Garage,garage/parking space,
819000,52.201297,20.88994,60.0,2,1,7,,full ownership,"Laundry, Balcony, Elevator",garage/parking space,municipal
916000,52.184745,21.04182,60.0,3,1,7,,full ownership,Balcony,garage/parking space,municipal
719000,52.340755,20.94534,48.0,2,3,3,for living,,"Garage, Terrace, Laundry",,
863000,52.283599,21.02555,64.0,2,1,7,,full ownership,Laundry,garage/parking space,municipal
499000,52.2264543,20.8897865,32.33,4,0,,for finishing,,"Laundry, Elevator",garage/parking space,municipal
735000,52.243594,20.9908,31.0,4,3,3,,full ownership,"Laundry, Elevator",,municipal
1150000,52.2284792,20.9747103,64.5,1,1,4,for living,full ownership,"Elevator, Terrace",garage/parking space,municipal
890000,52.24714,20.98712,49.09,4,,,,,Laundry,,
769000,52.1832375,20.8180282,56.81,1,3,3,for living,full ownership,Elevator,,boiler room
847000,52.1710039,20.996002,38.53,3,2,7,for living,full ownership,"Laundry, Elevator",garage/parking space,municipal
1400000,52.13633,21.04971,116.0,5,7,11,for living,full ownership,Balcony,garage/parking space,municipal
1400000,52.13633,21.04971,116.0,2,7,11,for living,full ownership,Garage,garage/parking space,municipal
630000,52.25644,21.05072,27.49,3,2,8,for living,,Laundry,garage/parking space,
949000,52.1843537,20.9934994,44.97,2,1,8,for living,full ownership,"Garage, Elevator",,municipal
1590000,52.2267432,21.0392802,63.12,1,3,4,for living,full ownership,"Garage, Terrace",,municipal
3250000,52.1875982,21.0582951,157.0,5,2,5,for living,full ownership,"Balcony, Terrace",garage/parking space,municipal
829000,52.3442482,21.1714312,92.0,1,1,2,for living,full ownership,"Laundry, Terrace, Garage",garage/parking space,gas
749000,52.132022,21.2318379,75.0,4,2,2,for living,full ownership,"Balcony, Terrace",garage/parking space,municipal
849000,52.1831185,20.9769772,54.3,3,3,3,for living,,Laundry,garage/parking space,municipal
610000,52.2418781,21.1243178,36.1,1,6,6,for living,full ownership,"Balcony, Elevator",,municipal
630000,52.39003,20.92475,60.35,1,0,3,for living,cooperative ownership right to the premises,"Laundry, Elevator, Garage",,municipal
897000,52.1613057,20.8046675,73.0,4,1,5,for living,,Elevator,garage/parking space,municipal
1790000,52.256687,20.964648,71.63,4,5,5,for living,full ownership,Balcony,garage/parking space,municipal
940000,52.3287247,21.1718237,121.0,2,1,2,for finishing,full ownership,"Garage, Balcony",garage/parking space,gas
850000,52.2455729,21.1885127,66.05,1,1,3,for living,full ownership,"Balcony, Elevator, Terrace",garage/parking space,municipal
559000,52.2902294,21.0178627,33.8,5,4,6,for finishing,full ownership,"Elevator, Terrace",garage/parking space,municipal
990000,52.3040703,20.9304152,52.6,3,4,4,for living,full ownership,Garage,garage/parking space,gas
556160,52.0874604,20.8437038,50.56,1,0,3,for finishing,full ownership,"Balcony, Elevator",garage/parking space,
1007130,52.1975313,20.9397861,56.9,4,5,6,for finishing,full ownership,Terrace,garage/parking space,municipal
1092000,52.2232,20.938849,57.1,5,2,7,for living,full ownership,Balcony,garage/parking space,municipal
690000,52.206737,20.97436,45.7,3,3,7,for renovation,full ownership,"Laundry, Terrace",,municipal
906000,52.2066464,20.8687963,59.3,2,1,3,for living,full ownership,"Laundry, Balcony",garage/parking space,municipal
827400,52.30703,21.10435,68.95,5,2,4,,full ownership,"Garage, Elevator, Balcony",garage/parking space,
1450000,52.2715718,21.1587277,101.36,4,1,2,for living,full ownership,Terrace,garage/parking space,gas
1349000,52.2216226,20.9310384,68.5,2,5,6,for finishing,full ownership,"Balcony, Elevator",garage/parking space,municipal
,52.1802699,20.9794708,31.22,2,3,10,for finishing,full ownership,"Garage, Elevator, Terrace",garage/parking space,
899000,52.2201448,20.8963096,43.91,3,0,4,for living,full ownership,Terrace,garage/parking space,municipal
1100000,52.2449097,21.0887778,65.3,5,4,4,for living,full ownership,"Garage, Elevator, Terrace",,gas
759000,52.1904879,21.0400645,48.3,5,2,3,for living,full ownership,"Garage, Elevator",garage/parking space,gas
1340000,52.1616086,21.1246899,74.57,1,1,2,for finishing,full ownership,"Elevator, Terrace",garage/parking space,
