price,latitude,longitude,surface_area,num_of_room,floor,num_floors_in_building,finish_condition,form_of_property,balcony_garden_terrace,parking_space,heating
1109400,52.1964005,20.9520403,73.06,4,1,7,for finishing,full ownership,Balcony,garage/parking space,
,52.1128681,20.9733484,47.87,2,0,3,for finishing,full ownership,"Terrace, Garden",,
1255000,52.23313,21.019,42.0,3,4,6,for living,full ownership,Balcony,,municipal
980000,52.2722504,20.9282948,60.0,2,0,7,for living,full ownership,Garden,garage/parking space,municipal
880000,52.2387216,20.9615056,49.9,2,7,7,for living,,,,municipal
,52.1646075,20.7999465,130.46,4,2,4,for finishing,full ownership,Balcony,garage/parking space,
,52.3384557,20.9525401,46.5,3,1,8,for finishing,full ownership,Garden,garage/parking space,
849900,52.1002168,21.0516374,85.95,3,2,2,for living,full ownership,Balcony,garage/parking space,gas
645000,52.30794,20.92389,47.98,2,4,4,for finishing,full ownership,Balcony,garage/parking space,municipal
380000,52.1402277,20.7209873,37.0,2,4,4,,full ownership,,,
2999999,52.1547592,21.0743332,164.96,6,0,3,for living,full ownership,Terrace,garage/parking space,municipal
1335000,52.2753557,20.9613534,69.78,3,5,11,for living,full ownership,"Balcony, Terrace",garage/parking space,municipal
1590000,52.2322443,20.9873744,70.0,3,12,30,for living,full ownership,"Terrace, Garden",garage/parking space,municipal
440690,52.1687774,20.7975906,33.26,2,1,5,for finishing,full ownership,Balcony,garage/parking space,municipal
1079000,52.2298562,21.0169931,41.0,2,7,7,for living,full ownership,Balcony,,municipal
,52.0957099,21.0466427,62.84,3,2,3,for finishing,full ownership,Garden,garage/parking space,
689000,52.2837262,20.9298522,50.7,3,8,10,for renovation,,Balcony,,other
569000,52.4494344,20.9522186,39.6,2,1,3,for living,full ownership,Balcony,garage/parking space,
630000,52.246415,20.9886864,26.4,2,5,9,for living,cooperative ownership right to the premises,,,municipal
892320,52.2314274,21.1091592,53.78,2,5,5,for finishing,full ownership,Balcony,garage/parking space,
,52.2389401,21.1375229,65.19,3,1,5,for finishing,full ownership,Balcony,garage/parking space,
1100943,52.1699645,20.9934698,53.9,3,0,5,for finishing,full ownership,Garden,garage/parking space,
1109400,52.1964005,20.9520403,73.06,4,1,7,for finishing,full ownership,Balcony,garage/parking space,
1741000,52.2251321,20.9741461,81.04,4,5,6,for finishing,full ownership,,garage/parking space,
550000,51.9794656,21.2156369,54.0,3,1,2,for living,full ownership,Balcony,,municipal
,52.1987396,21.0818246,76.45,4,1,6,for finishing,full ownership,Balcony,garage/parking space,
790000,52.1924896,20.8707639,57.9,4,4,4,for living,full ownership,Balcony,,
1199000,52.2298257,20.991538,53.9,3,12,11,for living,cooperative ownership right to the premises,Balcony,,municipal
645000,52.30794,20.92389,47.98,2,4,4,for finishing,full ownership,Balcony,garage/parking space,municipal
380000,52.1402277,20.7209873,37.0,2,4,4,,full ownership,,,
2999999,52.1547592,21.0743332,164.96,6,0,3,for living,full ownership,Terrace,garage/parking space,municipal
1335000,52.2753557,20.9613534,69.78,3,5,11,for living,full ownership,"Balcony, Terrace",garage/parking space,municipal
1590000,52.2322443,20.9873744,70.0,3,12,30,for living,full ownership,"Terrace, Garden",garage/parking space,municipal
440690,52.1687774,20.7975906,33.26,2,1,5,for finishing,full ownership,Balcony,garage/parking space,municipal
1079000,52.2298562,21.0169931,41.0,2,7,7,for living,full ownership,Balcony,,municipal
,52.0957099,21.0466427,62.84,3,2,3,for finishing,full ownership,Garden,garage/parking space,
689000,52.2837262,20.9298522,50.7,3,8,10,for renovation,,Balcony,,other
569000,52.4494344,20.9522186,39.6,2,1,3,for living,full ownership,Balcony,garage/parking space,
630000,52.246415,20.9886864,26.4,2,5,9,for living,cooperative ownership right to the premises,,,municipal
892320,52.2314274,21.1091592,53.78,2,5,5,for finishing,full ownership,Balcony,garage/parking space,
,52.2389401,21.1375229,65.19,3,1,5,for finishing,full ownership,Balcony,garage/parking space,
1100943,52.1699645,20.9934698,53.9,3,0,5,for finishing,full ownership,Garden,garage/parking space,
1109400,52.1964005,20.9520403,73.06,4,1,7,for finishing,full ownership,Balcony,garage/parking space,
1741000,52.2251321,20.9741461,81.04,4,5,6,for finishing,full ownership,,garage/parking space,
550000,51.9794656,21.2156369,54.0,3,1,2,for living,full ownership,Balcony,,municipal
995000,52.222837,21.0868449,76.4,3,3,12,for living,cooperative ownership right to the premises,Balcony,garage/parking space,municipal
380000,52.25906,21.17363,24.45,2,1,2,for renovation,full ownership,,,municipal
810495,52.208396,20.8041528,77.36,4,0,3,for finishing,full ownership,Garden,garage/parking space,
,52.1154104,20.9737838,75.15,4,1,3,for finishing,full ownership,Balcony,garage/parking space,
,52.1927922,20.8618092,60.7,3,1,11,for finishing,full ownership,Balcony,garage/parking space,
623220,52.2941884,20.8828739,47.94,2,1,3,for finishing,full ownership,Balcony,garage/parking space,
1242000,52.2624103,20.9716155,49.66,2,1,4,for finishing,full ownership,,garage/parking space,
700494,52.1738234,21.0520193,34.69,1,1,11,for finishing,full ownership,Balcony,garage/parking space,
2999999,52.1547592,21.0743332,164.96,6,0,3,for living,full ownership,Terrace,garage/parking space,municipal
1335000,52.2753557,20.9613534,69.78,3,5,11,for living,full ownership,"Balcony, Terrace",garage/parking space,municipal
1590000,52.2322443,20.9873744,70.0,3,12,30,for living,full ownership,"Terrace, Garden",garage/parking space,municipal
440690,52.1687774,20.7975906,33.26,2,1,5,for finishing,full ownership,Balcony,garage/parking space,municipal
1079000,52.2298562,21.0169931,41.0,2,7,7,for living,full ownership,Balcony,,municipal
,52.0957099,21.0466427,62.84,3,2,3,for finishing,full ownership,Garden,garage/parking space,
